"app_id","app_name","line","onprem_qvd","status","cloud_target","note"
"c181957a-a6c8-4ad2-b10c-28eacb96089e","Community Profile Nprint(3)","764","[lib://Data Preparation - DEV:DataFiles/10 Landing Area/FUSION/Grant Activity Location.qvd]","out-of-scope","",""
"c181957a-a6c8-4ad2-b10c-28eacb96089e","Community Profile Nprint(3)","776","[lib://AppData/PROD\AzureDataLake\FUSION\Grant Activity Location Attribution.qvd]","retargeted","[lib://Curated Data Store:DataFiles/10 Landing Area/FUSION/Grant Activity Location Attribution.qvd]",""
"c181957a-a6c8-4ad2-b10c-28eacb96089e","Community Profile Nprint(3)","995","[lib://AppDataProd/Geospatial/SA1 2021 - ILOC 2021.qvd]","geospatial","",""
"c181957a-a6c8-4ad2-b10c-28eacb96089e","Community Profile Nprint(3)","1020","[lib://AppDataProd/Geospatial/MB 2021.qvd]","geospatial","",""
"c181957a-a6c8-4ad2-b10c-28eacb96089e","Community Profile Nprint(3)","1044","[lib://AppDataProd/Geospatial/SA2 2021.qvd]","geospatial","",""
"c181957a-a6c8-4ad2-b10c-28eacb96089e","Community Profile Nprint(3)","1058","[lib://AppData/PROD/Geospatial/NIAA Region 2024.qvd]","geospatial","",""
"c181957a-a6c8-4ad2-b10c-28eacb96089e","Community Profile Nprint(3)","1067","[lib://AppData/PROD/Geospatial/NIAA Subregion 2024.qvd]","geospatial","",""
"c181957a-a6c8-4ad2-b10c-28eacb96089e","Community Profile Nprint(3)","1076","[lib://AppData/PROD/Geospatial/ILOC 2021 - NIAA Subregion 2024.qvd]","geospatial","",""
"c181957a-a6c8-4ad2-b10c-28eacb96089e","Community Profile Nprint(3)","1087","// FROM [lib://AppDataProd/Geospatial/NIAA Region 2022.qvd]","commented","",""
"c181957a-a6c8-4ad2-b10c-28eacb96089e","Community Profile Nprint(3)","1096","// FROM [lib://AppDataProd/Geospatial/NIAA Subregion 2022.qvd]","commented","",""
"c181957a-a6c8-4ad2-b10c-28eacb96089e","Community Profile Nprint(3)","1105","// FROM [lib://AppDataProd/Geospatial/ILOC 2021 - NIAA Subregion 2022.qvd]","commented","",""
"c181957a-a6c8-4ad2-b10c-28eacb96089e","Community Profile Nprint(3)","1112","// FROM [lib://AppDataProd/Geospatial/NIAA 2018.qvd]","commented","",""
"c181957a-a6c8-4ad2-b10c-28eacb96089e","Community Profile Nprint(3)","1119","// FROM [lib://AppDataProd/Geospatial/NIAA Region 2020.qvd]","commented","",""
"c181957a-a6c8-4ad2-b10c-28eacb96089e","Community Profile Nprint(3)","1192","[lib://AppDataProd/AzureDataLake/FUSION/Grant Activity.qvd]","retargeted","[lib://Curated Data Store:DataFiles/10 Landing Area/FUSION/Grant Activity.qvd]",""
"c181957a-a6c8-4ad2-b10c-28eacb96089e","Community Profile Nprint(3)","1213","[lib://AppData/PROD\AzureDataLake\FUSION\Source Organisation.qvd]","retargeted","[lib://Curated Data Store:DataFiles/10 Landing Area/FUSION/Source Organisation.qvd]",""
"c181957a-a6c8-4ad2-b10c-28eacb96089e","Community Profile Nprint(3)","1225","// FROM [lib://AppDataProd/AzureDataLake/FUSION/Grant Activity Funding.qvd]","commented","",""
"c181957a-a6c8-4ad2-b10c-28eacb96089e","Community Profile Nprint(3)","1260","[lib://AppDataProd/AzureDataLake/FUSION/Organisation.qvd]","retargeted","[lib://Curated Data Store:DataFiles/10 Landing Area/FUSION/Organisation.qvd]",""
"c181957a-a6c8-4ad2-b10c-28eacb96089e","Community Profile Nprint(3)","1278","[lib://AppDataProd/AzureDataLake/GPS/Grant Activity Contact.qvd]","retargeted","[lib://Curated Data Store:DataFiles/10 Landing Area/GPS/Grant Activity Contact.qvd]",""
"c181957a-a6c8-4ad2-b10c-28eacb96089e","Community Profile Nprint(3)","1329","[lib://AppDataProd/AzureDataLake/FUSION/Organisation Risk Profile.qvd]","retargeted","[lib://Curated Data Store:DataFiles/10 Landing Area/FUSION/Organisation Risk Profile.qvd]",""
"c181957a-a6c8-4ad2-b10c-28eacb96089e","Community Profile Nprint(3)","1346","[lib://AppDataProd/AzureDataLake/FUSION/Organisation Current Risk Profile.qvd]","retargeted","[lib://Curated Data Store:DataFiles/10 Landing Area/FUSION/Organisation Current Risk Profile.qvd]",""
"c181957a-a6c8-4ad2-b10c-28eacb96089e","Community Profile Nprint(3)","1360","[lib://AppDataProd/Geospatial/CDP 2018.qvd]","geospatial","",""
